;TrV;Benämning;Definition;Synonym
Funktionella system;;Utrymmesskapande system;funktionellt system som skapar utrymme;
Funktionella system;A;Mark- och grundsystem;utrymmesskapande system på eller i mark;
Funktionella system;AB;Terrass;marksystem som utgör underlag för byggnadsverk;bank
Funktionella system;ABB;Bank;terrass på fylld mark;
Funktionella system;AC;Grundläggning;mark- och grundsystem som avslutar ett byggnadsverk neråt;grund
Funktionella system;AD;Överbyggnad för trafik;marksystem för trafik;
Funktionella system;ADB;Överbyggnad för primär trafik;överbyggnad för ordinarie trafik;körbana, körfält, gångbana, cykelbana, gång- och cykelbana, rullbana, spårunderbyggnad
Funktionella system;ADC;Överbyggnad för sekundär trafik;överbyggnad för trafik för påfart, vändning, tillfälligt stopp och andra trafikrelaterade fordonsrörelser;vägren, taxibana, hållplats, vändplats
Funktionella system;AE;Överbyggnad för sidoområde;marksystem för trafikseparation och säkerhet;
Funktionella system;AEB;Refug;överbyggnad för sidoområde för skydd av fotgängare;
Funktionella system;AEC;Rondell;överbyggnad för sidoområde för separation av trafik i cirkulationsplats;
Funktionella system;AED;Stödremsa;överbyggnad för sidoområde som stöder överbyggnad för trafik;
Funktionella system;AEE;Sidoremsa;överbyggnad för sidoområde som åtskiljer överbyggnader för trafik;
Funktionella system;AEF;Mittremsa;överbyggnad för sidoområde som åtskiljer överbyggnader med motriktad trafik;
Funktionella system;AEG;Innerslänt;överbyggnad för sidoområde mellan stödremsa och dikesbotten;
Funktionella system;AEH;Ytterslänt;överbyggnad för sidoområde för slänt utanför dikesbotten;
Funktionella system;AEJ;Säkerhetsområde vid banände;överbyggnad för sidoområde för säkerhet vid ände av rullbana;
Funktionella system;AEK;Utrullningsområde;överbyggnad för sidoområde för inbromsning av flygplan under avbruten start;
Funktionella system;AF;Överbyggnad för plan;marksystem för annan primär verksamhet än trafik;
Funktionella system;AG;Vegetationsöverbyggnad;marksystem för vegetation;
Funktionella system;AH;Vattenanläggning;marksystem för hantering av vatten;
Funktionella system;AHB;Damm;vattenanläggning för lagring;Fördröjningsanläggning
Funktionella system;AHC;Vattenväg;vattenanläggning för öppen ledning;
Funktionella system;AHD;Infiltrationsanläggning;vattenanläggning för ledning in i mark;
Funktionella system;B;Väggsystem;utrymmesskapande system som formar och avskiljer utrymmen vertikalt;bergrumsvägg, dammvägg, stödmur, tunnelvägg
Funktionella system;BB;Yttervägg;vägg över mark mot utsidan av byggnadsverk;sänktunnelvägg
Funktionella system;BC;Innervägg;vägg mellan utrymmen i byggnadsverk;
Funktionella system;BD;Vägg mot mark;vägg mot mark;
Funktionella system;BDB;Källarvägg;vägg mot mark för invändigt utrymme;kulvertvägg
Funktionella system;BDC;Markvägg;vägg mot mark för utvändigt utrymme;frontmur, skärning, spont, stödmur
Funktionella system;BDD;Tunnelvägg;vägg mot mark för utrymme under mark;bergrumsvägg
Funktionella system;BE;Terrängmur;vägg fristående på mark;mur
Funktionella system;BF;Vattenvägg;vägg mot vatten;
Funktionella system;BFB;Kaj- och pirvägg;vattenvägg mellan land och vatten;kaj, kajvägg
Funktionella system;BFC;Dammvägg;vattenvägg i vattendrag;dammvägg
Funktionella system;C;Bjälklagssystem;utrymmesskapande system som formar och avskiljer utrymmen horisontellt;altan, balkongbjälklag, bro, brobana, brygga,  loftgångsbjälklag, lastkaj
Funktionella system;CB;Bottenbjälklag;bjälklagssystem under det lägsta våningsplanet i en byggnad;sänktunnelbotten
Funktionella system;CC;Mellanbjälklag;bjälklagssystem mellan våningsplan i en byggnad;våningsbjälklag
Funktionella system;CD;Vindsbjälklag;bjälklagssystem över det högsta våningsplanet i en byggnad;
Funktionella system;CE;Utskjutande bjälklag;bjälklagssystem som skjuter ut från byggnad;Balkongbjälklag, dockningsstation, lastkaj, loftgångsbjälklag, svalgångsbjälklag
Funktionella system;CEB;Balkongbjälklag;utskjutande bjälklagssystem för stationär aktivitet;
Funktionella system;CEC;Loftgångsbjälklag;utskjutande bjälklagssystem för åtkomst till entré;Svalgångsbjälklag
Funktionella system;CED;Lastkaj;utskjutande bjälklagssystem för angöring av fordon;
Funktionella system;CF;Broöverbyggnad;bjälklagssystem över ett hinder;
Funktionella system;CFB;Fast bro;broöverbyggnad med fast brobana;
Funktionella system;CFC;Öppningsbar bro;broöverbyggnad med rörlig brobana;
Funktionella system;CG;Altan;bjälklagssystem över mark, vanligen utskjutande från en byggnad;
Funktionella system;CH;Brygga;bjälklagssystem stående över vatten;
Funktionella system;D;Taksystem;utrymmesskapande system som avslutar ett byggnadsverk uppåt;
Funktionella system;DB;Yttertak;yttertak ej avsett för verksamhet;sänktunneltak
Funktionella system;DC;Ytterbjälklag;yttertak avsett för verksamhet;gårdsbjälklag
Funktionella system;;Installationssystem;funktionellt system som tillhandahåller tjänster;
Funktionella system;E;Gas- och luftsystem;installationssystem som tillför tekniska gaser eller teknisk luft;
Funktionella system;EB;Gassystem;gassystem;
Funktionella system;EBB;Energigassystem;gassystem för utvinning av energi;biogas, naturgas, gasol, vätgas
Funktionella system;EBC;Processgassystem;gassystem för användning i industriell process;
Funktionella system;EBD;Medicinsk gassystem;gassystem för medicinskt ändamål;
Funktionella system;EBE;Specialgassystem;gassystem för speciellt ändamål;koldioxid, kväve
Funktionella system;EC;Luftsystem;luftsystem;
Funktionella system;ECB;Tryckluftssystem;luftsystem för trycksatt luft;
Funktionella system;ECC;Renluftssystem;luftsystem för renad luft;
Funktionella system;ED;Ångsystem;gas- och luftsystem för vatten i gasform;
Funktionella system;EE;Vakuumsystem;luftsystem för undertryck;
Funktionella system;F;Vatten- och vätskesystem;installationssystem som tillför dricksvatten, tekniskt vatten eller annan vätska;
Funktionella system;FB;Råvattensystem;vattensystem för obehandlat vatten från ytvattentäkt eller grundvattentäkt;
Funktionella system;FBB;System för insamling av regnvatten;råvattenystem för insamling av regnvatten;
Funktionella system;FC;Renvattensystem;vattensystem för vatten tjänligt för användning;tappvatten
Funktionella system;FCB;Tappkallvattensystem;renvattensystem för ej uppvärmt vatten;
Funktionella system;FCC;Tappvarmvattensystem;renvattensystem för uppvärmt vatten;
Funktionella system;FCD;Processvattensystem;renvattensystem för process;
Funktionella system;FCDA;Avhärdat vattensystem;renvattensystem för vatten med sänkt mineralhalt;
Funktionella system;FCE;Destillerat vattensystem;renvattensystem för återkondenserad vattenånga;
Funktionella system;FCF;Avjoniserat vattensystem;renvattensystem för vatten som passerat jonbytarkolonn;
Funktionella system;FD;Drivmedelssystem;vätskesystem för bränsle;
Funktionella system;FDB;Bensinsystem;drivmedelssystem för bensin;
Funktionella system;FDC;Oljesystem;drivmedelssystem för olja;dieselolja
Funktionella system;FDD;Fotogensystem;drivmedelssystem för fotogen;
Funktionella system;FE;Processvätskesystem;vätskesystem för vätska för användning i teknisk process;
Funktionella system;FEB;Syrasystem;processvätskesystem för syra;
Funktionella system;FEC;Alkoholsystem;processvätskesystem för alkohol;
Funktionella system;G;Avlopps- och avfallssystem;installationssystem som avlägsnar vätska eller avfall;
Funktionella system;GB;Förorenat vattensystem;avloppssystem för vatten som innehåller oönskade ämnen eller föremål;
Funktionella system;GBB;Spillvattensystem;förorenat vattensystem från byggnadsverk, potentiellt hälsovådligt;
Funktionella system;GBC;Processpillvattensystem;förorenat vattensystem från process, potentiellt hälsovådligt;
Funktionella system;GBD;Gråvattensystem;förorenat vattensystem från byggnadsverk eller process, icke hälsovådligt;
Funktionella system;GBE;Trafikavloppssystem;förorenat vattensystem från trafikeringsyta;Tunnelavloppssystem
Funktionella system;GC;Överskottsvattensystem;avloppssystem för överflödigt vatten;
Funktionella system;GCB;Dagvattensystem;överskottsvattensystem på markyta;
Funktionella system;GCC;Dränvattensystem;överskottsvattensystem i mark;
Funktionella system;GCD;Kombinerat dag- och dränvattensystem;överskottsvattensystem på och i mark;
Funktionella system;GCE;Takavvattningssystem;överskottsvattensystem på takyta;
Funktionella system;GD;Tätnings- och  vattenavledningssystem;avloppssystem för hindrande och avledande av vatten i mark;tunneltätning
Funktionella system;GE;Kombinerat avloppssystem;avloppssystem för förorenat vatten och överskottsvatten;
Funktionella system;GEB;Kombinerat spill-, dag- och dränvattensystem;kombinerat avloppsvattensystem för spill-, dag- och dränvatten;
Funktionella system;GEC;Kombinerat spill- och dränvattensystem;kombinerat avloppsvattensystem för spill- och dränvatten;
Funktionella system;GF;Avfallshanteringssystem;avfallssystem för restprodukt eller annat som bedömts sakna värde och som därför har kasserats;sophanteringssystem
Funktionella system;GFB;Matavfallshanteringssystem;avfallshanteringssystem från matproduktion eller matlagning;
Funktionella system;GFC;Slamhanteringssystem;avfallshanteringssystem för slam;
Funktionella system;GG;Centraldammsugningssystem;avfallssystem för småpartiklar genom sugning;
Funktionella system;GH;Tvätthanteringssystem;avfallssystem för smutsiga textilier;
Funktionella system;H;Kyl- och värmesystem;installationssystem som tillför kylning och värmning;
Funktionella system;HB;Utrymmesvärmesystem;värmesystem för utrymme;
Funktionella system;HC;Utrymmeskylsystem;kylsystem för utrymme;
Funktionella system;HD;Utrustningsvärmesystem;värmesystem för utrustning;
Funktionella system;HDB;Tåg- och lokvärmeanläggning;utrustningsvärmesystem för tåg och lok;
Funktionella system;HDC;Växelvärmesystem;utrustningsvärmesystem för spårväxel;
Funktionella system;HE;Utrustningskylsystem;kylsystem för utrustning;
Funktionella system;HF;Processvärmesystem;värmesystem för processer;
Funktionella system;HG;Processkylsystem;kylystem för processer;
Funktionella system;HH;Fjärrvärmesystem;värmesystem för fjärrdistribution;
Funktionella system;HJ;Fjärrkylsystem;kylsystem för fjärrdistribution;
Funktionella system;J;Luftbehandlingssystem;installationssystem som växlar och/eller anpassar kvaliteten på luft;Ventilationssystem
Funktionella system;JB;Allmänventilationssystem;luftbehandlingssystem för att omhänderta luftföroreningar från människor, byggmaterial, inventarier o.d.;
Funktionella system;JC;Specialventilationssystem;luftbehandlingssystem för visst utrymme;
Funktionella system;JCB;Teknikutrymmesventilation;specialventilationssystem i teknikutrymme;Driftutrymmesventilation
Funktionella system;JCC;Tunnelventilationssystem;specialventilationssystem i tunnel;
Funktionella system;JCD;Behandlingsrumsventilation;specialventilationssystem i behandlingsrum;Renrumsventilation
Funktionella system;JCE;Skyddsrumsventilationssystem;specialventilationssystem i utrymme enligt lag om skyddsrum;
Funktionella system;JD;Processventilationssystem;luftbehandlingssystem som omhändertar luftföroreningar och värme från processer så nära källan som möjligt;
Funktionella system;JE;Nödventilationssystem;luftbehandlingssystem som aktiveras vid oönskade nivåer av luftföroreningar;Brandventilation, nödluftssystem
Funktionella system;K;Elkraftssystem;installationssystem som tillför elektrisk energi;
Funktionella system;KB;Allmän elkraftssystem;elkraftsystem för drift och aktivitet i byggnad;
Funktionella system;KBB;Primärt elkraftssystem för allmänt bruk;allmänt elkraftsystem för reguljär drift;Värmekraft, Vindkraft, Vattenkraft, Kärnkraft, Solel
Funktionella system;KBC;Reserv- och nödkraftssystem för allmänt bruk;allmänt elkraftsystem för tillfällig ersättning av primärt system;Dieselgenerator
Funktionella system;KBD;Avbrottsfri elkraftssystem för allmänt bruk;allmänt elkraftsystem för kontinuerlig drift under störd extern tillförsel;UPS
Funktionella system;KC;Elkraftssystem för anläggning;elkraftsystem för drift och aktivitet i anläggning;
Funktionella system;KCB;Primär elkraftssystem för anläggning;elkraftsystem i anläggning för reguljär drift;
Funktionella system;KCC;Reserv- och nödkraftssystem för anläggning;elkraftsystem i anläggning för tillfällig ersättning av ordinarie system;
Funktionella system;KCD;Avbrottsfri elkraftssystem för anläggning;elkraftsystem i anläggning för kontinuerlig drift under störd extern tillförsel;
Funktionella system;KD;Elkraftssystem för processdrift;elkraftsystem för drift av industriell process;
Funktionella system;KDB;Primär elkraftssystem för processdrift;elkraftsystem för processdrift för reguljär drift;
Funktionella system;KDC;Reserv- och nödkraftssystem för processdrift;elkraftsystem för processdrift för tillfällig ersättning av ordinarie system;
Funktionella system;KDD;Avbrottsfri elkraftssystem för processdrift;elkraftsystem för processdrift för kontinuerlig drift under störd extern tillförsel;
Funktionella system;KE;Elkraftssystem för fordonsdrift;elkraftsystem för drift av fordon;Kontaktledningssystem
Funktionella system;KEB;Primär elkraftssystem för fordonsdrift;elkraftsystem för fordonsdrift för reguljär drift;
Funktionella system;KEC;Reserv- och nödkraftssystem för fordonsdrift;elkraftsystem för fordonsdrift för tillfällig ersättning av ordinarie system;
Funktionella system;L;Automationssystem;installationssystem som övervakar, styr och reglerar tekniska system;Alarmsystem, kontrollsystem, styr- och övervakningssystem,  övervakningssystem, SCADA, SÖ-system
Funktionella system;LB;Fastighetsautomationssystem;automationssystem för byggnad;
Funktionella system;LBB;Överordnat flerfunktionellt automationssystem för byggnad;automationssystem för byggnad för ett eller flera flerfunktionella automationssystem;
Funktionella system;LBC;Flerfunktionellt automationssystem för byggnad;automationssystem för byggnad för flera processer;
Funktionella system;LC;Automationssystem för anläggning;automationssystem för anläggning;
Funktionella system;LD;Trafik- och driftsledningssystem;automationssystem för trafikanläggning;
Funktionella system;LDB;Överordnat trafik- och driftledningssystem;trafik- och driftledningssystem för styrning av ett eller flera lokala trafik- och driftledningssystem;NTS, NTL, MCS (Motorway Control System)
Funktionella system;LDC;Lokalt trafik- och driftledningssystem;trafik- och driftledningssystem för trafikanordningar;
Funktionella system;LDD;Överordnat styr- och övervakningssystem  för trafikanläggning;trafik- och driftledningssystem för styrning av ett eller flera lokala styr- och övervakningssystem för trafikanläggning;
Funktionella system;LDE;Lokalt styr- och övervakningssystem för trafikanläggning;trafik- och driftledningssystem för övervakning av trafikanläggning;GELD, TUS, UMS, PCMS, ASÖ
Funktionella system;LDF;Teknikslagsövergripande trafik- och driftledningssystem;trafik- och driftledningssystem för;
Funktionella system;LE;Övervakningssystem för väder och miljö;automationssystem för övervakning av väder och miljö;
Funktionella system;LEB;Väderövervakningssystem;väderövervakningssystem;AWOS, VViS, väderinformation, vädervarningssystem, vägväderinformationssystem
Funktionella system;LEC;Vindvarningssystem;väderövervakningssystem för vind;
Funktionella system;LED;Isvarningssystem;väderövervakningssystem för is;
Funktionella system;LEE;Miljömätningssystem;miljöövervakningssystem;
Funktionella system;LF;Övervakningssystem för datanätverk;automationssystem för övervakning av datanätverk;
Funktionella system;LFB;Övervakningssystem för hårdvara;övervakningssystem för datanätverk för hårdvara;
Funktionella system;LFC;Övervakningssystem för datatrafik;övervakningssystem för datanätverk för hårdvara;
Funktionella system;LG;Övervakningssystem för mediatransportnät;automationssystem för övervakning av mediatransportnät;
Funktionella system;LH;Övervakningssystem för säkerhets- och skyddssystem;automationssystem för övervakning av säkerhets- och skyddssystem;
Funktionella system;LHA;Anläggningsövergripande övervakningssystem för  säkerhets- och skyddssystem;övervakande system för samordning av ett eller flera överordnade övervakningssystem för säkerhets- och skyddssystem;
Funktionella system;LHB;Överordnat övervakningssystem för säkerhets- och skyddssystem;övervakande system för samordning av ett eller flera lokala övervakningssystem för säkerhets- och skyddssystem;
Funktionella system;LHC;Lokalt övervakningssystem för säkerhets- och skyddssystem;övervakande system för säkerhets- och skyddssystem för visst område;
Funktionella system;LJ;Betalsystem;automationssystem för övervakning av ekonomisk transaktion;
Funktionella system;M;Informations- och kommunikationssystem;installationssystem som omberörjer kommunikation mellan personer eller tekniska system;bokningssystem, IT-system, kommunikationssystem, telesystem, varningssystem
Funktionella system;MB;Datanätverk;kommunikationssystem för datatrafik;
Funktionella system;MC;Personkommunikationssystem;informations- och kommunikationssystem mellan människor;
Funktionella system;MCB;Telefonisystem;personkommunikationssystem för dubbelriktad kommunikation;hjälptelefonsystem, konferenssystem, nödtelefonsystem, porttelefonsystem, snabbtelefon, telefonsystem, telesystem
Funktionella system;MCC;Meddelandesystem;personkommunikationssystem för enkelriktad kommunikation;Ljudsystem, PA-system
Funktionella system;MD;Signalerande system;informations- och kommunikationssystem för avgivande av signal;
Funktionella system;MDB;Personsökningssystem;signalsystem för sökning av person;
Funktionella system;MDC;Nödsignalssystem;signalsystem för akut behov av assistans;Bråklarm, trygghetslarm, överfallslarm
Funktionella system;MDD;Kallelsesignaleringssystem;signalsystem för icke akut behov av assistans;RWC-larm
Funktionella system;MDE;Bokningssystem;signalsystem för bokning av resurs;
Funktionella system;MDF;Entrésignalsystem;signalsystem för entrésignal;Rumssignal
Funktionella system;MDG;Resultatmarkeringssystem;signalsystem för resultatmarkering;
Funktionella system;MDH;Kösignalsystem;signalsystem för kö;upptagetmarkering
Funktionella system;MDJ;Tidsignalsystem;signalsystem för tid;Tidgivning
Funktionella system;N;Transportsystem;installationssystem som transporterar gods eller personer;Hissar, rulltrappor, transportband
Funktionella system;NB;Persontransportsystem;transportsystem för personer;
Funktionella system;NC;Godstransportsystem;transportsystem för gods;
Funktionella system;P;Säkerhets- och skyddssystem;installationssystem som skyddar mot fara och skada;sprinkler, brandventilation, tillträdeshinder, nödbelysning, brandventilation
Funktionella system;PB;Brandsäkerhetssystem;säkerhets- och skyddssystem mot brand;
Funktionella system;PBB;Brandövervakningssystem;brandsäkerhetssystem som detekterar och varnar för brand;
Funktionella system;PBC;Brandsläckningssystem;brandsäkerhetssystem som släcker brand;
Funktionella system;PC;Skalskyddssystem;säkerhets- och skyddssystem mot oönskad passage;
Funktionella system;PD;Personsäkerhetssystem;säkerhets- och skyddssystem mot personskada;
Funktionella system;PE;Elsäkerhetssystem;säkerhets- och skyddssystem mot elskador;
Funktionella system;Q;Belysningssystem;installationssystem för ljushantering;Elbelysning, dagsljussystem, solavskärmning, mörkläggning
Funktionella system;QB;Allmänbelysningssystem;belysningssystem för allmän aktivitet;Industri- och hamnbelysning, trafikbelysning, sport- och friluftsanläggningsbelysning
Funktionella system;QBB;Allmänbelysningssystem inomhus;allmänbelysningssystem inomhus;
Funktionella system;QBC;Allmänbelysningssystem utomhus;allmänbelysningssystem utomhus;
Funktionella system;QBD;Allmänbelysningssystem för trafik;allmänbelysningssystem för fordonstrafikanläggning;gångbanebelysning, cykelvägsbelysning, spårbelysning, tunnelbelysning, vägbelysning
Funktionella system;QBE;Allmänbelysningssystem för Industri och hamn;allmänbelysningssystem för industri- och hamnområde;
Funktionella system;QBF;Allmänbelysningssystem för sport- och friluftsanläggning;allmänbelysningssystem för sport- och friluftsområde;
Funktionella system;QC;Platsbelysningssystem;belysningssystem för speciell aktivitet;arbetsplatsbelysning
Funktionella system;QD;Nödbelysningssystem;belysningssystem som tänds automatiskt vid fallerande allmänbelysning;utrymningsbelysning
Funktionella system;QE;Reservbelysningssystem;belysningssystem som tillfällig ersättning för ordinarie system;
Funktionella system;QF;Dekorationsbelysningssystem;belysningssystem för estetiska syften;
Funktionella system;;Utrustande system;funktionellt system som utrustar utrymmen;
Funktionella system;R;Spårsystem;utrustande system som leder och styr spårbundna fordon;Banöverbyggnad
Funktionella system;RB;Huvudspårsystem;spårsystem för tågfärd;
Funktionella system;RC;Sidospårsystem;spårsystem för växling eller växlingsrörelse;
Funktionella system;RD;Spårbytesanordning;spårsystem för byte av spår;
Funktionella system;S;Anordningar;utrustande system som förser ett byggnadsverk och dess utrymmen med inredning, tillbehör och utrustning;
Funktionella system;SB;Bruksanordningar;anordningar för brukaraktivitet;
Funktionella system;SC;Skydds- och tillträdesanordningar;anordningar för skydd eller tillträde;
Funktionella system;SD;Produktionsanordningar;anordningar för produktion;maskiner
Funktionella system;SE;Underhållsanordningar;anordningar för underhåll;
Funktionella system;SEB;Avisningssystem;anordningar som förbygger uppbyggandet av is på fordon;
Funktionella system;SF;Kanalisationssystem;anordningar för kanalisation;
Funktionella system;SG;Klimatavskärmande anordningar;anordningar för klimatskydd;
Funktionella system;SGB;Ljusavskärmande anordningar;klimatavskärmande system mot ljusinstrålning;
Funktionella system;SGC;Vindskyddsanordningar;klimatavskärmande system mot luftrörelse;
Funktionella system;SGD;Bullerskyddande anordningar;klimatavskärmande system mot oönskat ljud;bullerplank, bullervall
Funktionella system;SGE;Regnskyddsanordningar;klimatavskärmande system mot nederbörd;
Funktionella system;SGF;Snöskyddsanordningar;klimatavskärmande system mot drivande snö;
Funktionella system;T;Trafikanordningar;utrustande system som förser en trafikanläggning med anordningar för styrning och reglering av trafik;trafikutrustning, bommar, trafiksignaler, trafikskyltar
Funktionella system;TB;Trafiksignalsystem;trafikanordningar för signalering till trafikant;banljus, trafikljus, spårtrafiksignal, vägtrafiksignal, sjötrafiksignal, flygtrafiksignal
Funktionella system;TBB;Fordonstrafiksignalsystem;trafiksignalsystem för allmän väg- och järnvägstrafik;vägskyddsanläggning
Funktionella system;TBC;Selektivt styrd trafiksignalering;trafiksignalsystem för specifika trafikslag;
Funktionella system;TBD;Påfartsregleringssystem;trafiksignalsystem för påfartstrafik;rampstyrning
Funktionella system;TBE;Gång- och cykeltrafiksignalssystem;trafiksignalsystem för gång- och cykeltrafik;
Funktionella system;TBF;Kövarningssystem;trafiksignalsystem som varnar för köbildning;
Funktionella system;TBG;Reversibla körfält;trafiksignalsystem för ändring av riktning av körfält;
Funktionella system;TBH;Trafikvarningssystem;trafiksignalsystem som informerar om trafikförutsättningar;
Funktionella system;TBJ;System med vägmarkeringar;trafiksignalsystem med vägmarkering;
Funktionella system;TBK;Banljussystem;trafiksignalsystem för flygplans start,  landning och markrörelser;
Funktionella system;TC;Trafikavstängningssystem;trafikanordningar för avstängning av trafik ;
Funktionella system;TCB;Fysiska avstängningsanordningar;trafikavstängningssystem genom fysiskt hinder;bommar
Funktionella system;TCC;Signalsystem för avstängning;trafikavstängningssystem genom signalering;hinderdetektering
Funktionella system;TD;Hastighetsövervakningssystem;trafikanordningar för övervakning av fordonshastighet;
Funktionella system;TDB;Automatiskt hastighetskontrollsystem;hastighetövervakningssystem  för fordon;ATK, automatiskt trafikkontrollsystem, fartkamerasystem, hastighetsövervakning
Funktionella system;TDC;System för hastighetsövervakning och hastighetsreducering;hastighetsövervakningssystem för fordon, kapabelt att sänka hastigheten;Automatic Train Control (ATC), Automatic Train Protection (ATP), European Train Control System (ETCS)
Funktionella system;TDD;Hastighetspåminnelsesystem;hastighetsövervakningssystem för påminnelse om gällande hastighetsgräns;
Funktionella system;TE;Fordonskontrollsystem;trafikanordningar för kontroll av fordon ;
Funktionella system;TEB;Fordonsidentifieringssystem;fordonskontrollsystem för identifiering;
Funktionella system;TEC;Fordonsdetekteringssystem;fordonskontrollsystem för närvaro;spökförardetektering, trafikmätningssystem, trafikräkning
Funktionella system;TED;Fordonsskadedetekteringssystem;fordonskontrollsystem för skada;
Funktionella system;TEE;Fordonsbromskontrollsystem;fordonskontrollsystem för bromsar;
Funktionella system;TEF;Fordonsviktkontrollsystem;fordonskontrollsystem för vikt;
Funktionella system;;Virtuellt system;funktionellt system utan fysisk realisering;
Funktionella system;Z;Koordinatsystem;virtuellt system som förser ett byggnadsverk och dess omgivning med ett geodetiskt referenssystem;
Funktionella system;ZB;2D-system;2-dimensionellt koordinatsystem;
Funktionella system;ZC;3D-system;3-dimensionellt koordinatsystem;
Konstruktiva system;A;Byggkonstruktion;konstruktivt system som formar grund, väggar, bjälklag och tak;Byggkonstruktioner
Konstruktiva system;AA;Trottoarkonstruktion;byggkonstruktion som formar yta för transport;
Konstruktiva system;AB;Grundkonstruktion;byggkonstruktion som formar avgränsning mot terrass;
Konstruktiva system;ABB;Plattgrundläggning;grundkonstruktion med stomme i form av ett styvt liggande plan;Platta på mark
Konstruktiva system;ABC;Grundmursgrundläggning;grundkonstruktion med stomme i form av ett stående plan;
Konstruktiva system;ABD;Plintgrundläggning;grundkonstruktion med stomme i form av  vertikalt långsträckta objekt;
Konstruktiva system;ABE;Rustbäddsgrundläggning;grundkonstruktion med stomme i form av ett flexibelt liggande plan;
Konstruktiva system;AC;Bjälklagskonstruktion;byggkonstruktion som formar horisontell avskiljning;Brobanekonstruktion
Konstruktiva system;ACB;Bjälklagskonstruktion med solid stomme;bjälklagskonstruktion med kärna i form av ett skikt;Massivplatta, håldäck, plattbjälklag, plattbro, plattbärlag, plattrambro, trågbalkbro
Konstruktiva system;ACC;Bjälklagskonstruktion med stomme av balkar;bjälklagskonstruktion med kärna i form av horisontellt långsträckta objekt;Balkbjälklag, balkrambro, balkbro
Konstruktiva system;ACD;Bjälklagskonstruktion med stomme av fackverk;bjälklagskonstruktion med kärna i form av förenade och samverkande stänger;Bågbro, fackverksbro, hängbro, snedkabelbro
Konstruktiva system;ACE;Bjälklagskonstruktion med stomme av sandwichkonstruktion;bjälklagskonstruktion med kärna i form av flera skikt;
Konstruktiva system;ACF;Bjälklagskonstruktion med murad stomme;bjälklagskonstruktion med kärna i form av block;Valvbro
Konstruktiva system;AD;Väggkonstruktion;byggkonstruktion som formar vertikal avskiljning;
Konstruktiva system;ADB;Väggkonstruktion med solid stomme;väggkonstruktion med kärna i form av ett skikt;Dammväggskonstruktion, kajväggskonstruktion, pirkonstruktion, spontkonstruktion, stödmurskonstruktion
Konstruktiva system;ADC;Väggkonstruktion med pelarstomme;väggkonstruktion med kärna i form av långsträckta objekt;
Konstruktiva system;ADD;Väggkonstruktion med fackverksstomme;väggkonstruktion med kärna i form av förenade och samverkande stänger;Regelvägg
Konstruktiva system;ADE;Väggkonstruktion med sandwichstomme;väggkonstruktion med kärna i form av flera skikt;
Konstruktiva system;ADF;Väggkonstruktion med murad stomme;väggkonstruktion med kärna i form av¨sammanfogade block;
Konstruktiva system;ADG;Rörlig väggkonstruktion;flyttbar väggkonstruktion;Flyttbar väggkonstruktion
Konstruktiva system;ADH;Tunnelväggskonstruktion;väggkonstruktion av bearbetat berg;Bergrumsväggskonstruktion
Konstruktiva system;AE;Yttertakskonstruktion;byggkonstruktion som avslutar en byggnad uppåt;
Konstruktiva system;AEB;Yttertakskonstruktion med solid stomme;yttertakskonstruktion med kärna i form av ett skikt;
Konstruktiva system;AEC;Yttertakskonstruktion med stomme av balkar;yttertakskonstruktion med kärna i form av långsträckta objekt;
Konstruktiva system;AED;Yttertakskonstruktion med stomme av fackverk;yttertakskonstruktion med kärna i form av förenade och samverkande stänger;
Konstruktiva system;AEE;Yttertakskonstruktion med stomme av sandwichkonstruktion;yttertakskonstruktion med kärna i form av flera skikt;
Konstruktiva system;AEF;Yttertakskonstruktion med murad stomme;yttertakskonstruktion med kärna i form av block;
Konstruktiva system;AEG;Rörlig takkonstruktion;flyttbar yttertakskonstruktion;Flyttbar väggkonstruktion
Konstruktiva system;AEH;Tunneltakskonstruktion;yttertakskonstruktion av bearbetat berg;
Konstruktiva system;AF;Trappkonstruktion;byggkonstruktion som stegvis förbinder två eller fler nivåer;
Konstruktiva system;AG;Rampkonstruktion;byggkonstruktion som steglöst förbinder två eller fler nivåer;
Konstruktiva system;AH;Utskjutande byggnadskonstruktion;byggkonstruktion som skapar ett anslutande utrymme utomhus, inbyggt i väggsystem eller i yttertaksystem;
Konstruktiva system;AHB;Utskjutande byggnadskonstruktion med solid stomme;utskjutande byggnadskonstruktion med kärna i form av ett skikt;Balkongplatta, loftgångsplatta
Konstruktiva system;AHC;Utskjutande byggnadskonstruktion med stomme av balkar;utskjutande byggnadskonstruktion med kärna i form av långsträckta objekt;
Konstruktiva system;AHD;Utskjutande byggnadskonstruktion med stomme av fackverk;utskjutande byggnadskonstruktion med kärna i form av förenade och samverkande stänger;
Konstruktiva system;AHE;Rörlig utskjutande byggnadskonstruktion;utskjutande byggnadskonstruktion med justerbar yttre anslutning;angöringsbrygga, brygga, dockningsstation
Konstruktiva system;AJ;Burspråkskonstruktion;byggkonstruktion som skapar ett utökat utrymme inomhus, inbyggt i väggsystem;
Konstruktiva system;AK;Takkupekonstruktion;byggkonstruktion som skapar ett utökat utrymme inomhus, inbyggt i yttertaksystem;Vindskupa
Konstruktiva system;AL;Taktornskonstruktion;byggkonstruktion som skapar ett utökat utrymme inomhus, byggt ovanpå yttertaksystem eller byggnadsverk;
