;TrV;Benämning;Definition;Synonym
Komponenter;QNB;Reglerventil för gas;reglerande objekt av slutet fluidflöde för gas;gasregulator, irisspjäll, jalusispjäll, konstantflödesdon, spjäll, trottelventil
Komponenter;QP;Styrande objekt av öppet vätskeflöde;styrande objekt för vätskeflöde i öppen omslutning;
Komponenter;QPA;Dammlucka;kontrollerande objekt av öppet vätskeflöde;slussport
Komponenter;QQ;Objekt för tillträde till utrymme;styrande objekt för tillträde till utrymme;
Komponenter;QQA;Fönster;objekt för tillträde till utrymme för enbart ljus;dreh-kippfönster, fast fönster, franskt fönster, glidhängt fönster, kipp-drehfönster, lanternin, pivotfönster, skjutfönster, slagfönster, takljuskupol, tvåvägsfönster, vippfönster, vridfönster
Komponenter;QQB;Glasparti;objekt för tillträde till utrymme för ljus och personer;fönsterparti
Komponenter;QQC;Dörr;objekt för tillträde till utrymme för personer;fönsterdörr, innerdörr, jalusidörr, karuselldörr, roterande dörr, skjutdörr, slagdörr, vikdörr, ytterdörr
Komponenter;QQD;Lucka;mindre objekt för tillträde till utrymme för inspektion eller för överföring av objekt;inspektionslucka, hundlucka, kattlucka, nedkastlucka, renslucka, soplucka, taklucka, tvättlucka, uppstigningslucka, vädringslucka
Komponenter;QQE;Port;större objekt för tillträde till utrymme för överföring av objekt;garageport, rullgaller, rulljalusi, rullport, skjutport, slagport, takskjutport, vikport, vipport
Komponenter;QQF;Grind;objekt för tillträde till utrymme med partiell funktion;bom, gångfålla, gånggrind, spärrgrind
Komponenter;QQG;Spårspärr;objekt för tillträde till utrymme genom blockering av tillträde till spår;spårspärrklots
Komponenter;QR;Styrande objekt av godsflöde;styrande objekt för flöde av gods;
Komponenter;QRA;Roterande kammare;reglerande objekt av godsflöde med roterande kammare;doseringsmaskin, roterande godstömning, rörpostväxel, rörväxel
Komponenter;QRB;Irisventil;reglerande objekt av godsflöde med irisöppning;doseringsmaskin
Komponenter;QRC;Klaffventil;reglerande objekt av godsflöde med ledad lucka eller skiva;doseringsmaskin
Komponenter;QS;Styrande objekt för mekanisk rörelse;styrande objekt för mekanisk rörelse;
Komponenter;QSA;Lås;kontrollerande objekt för mekanisk rörelse genom blockering;elektriskt lås, ellås, eltryckeslås, elslutbleck, grindlås, magnetlås, motorlås, låsregel, regel, rälsvandringshinder, rälsvandringslås, spanjolett, hänglås, klykväxellås, lås- och kontrollanordning, låsanordning, låshus
Komponenter;QSB;Spårväxel;kontrollerande objekt för mekanisk rörelse genom växling mellan olika spår;
Komponenter;QZ;Multipelt styrande objekt;styrande objekt i elektriska kretsar med olika metoder;
Komponenter;QZA;Jordbrytare;multipelt styrande objekt för jordning eller separering;
Komponenter;R;Begränsande objekt;objekt för begränsning eller stabilisering;
Komponenter;RA;Elbegränsande objekt;begränsande objekt genom begränsning av elektriskt energiflöde;
Komponenter;RAA;Diod;elbegränsande objekt genom blockering av ström i en riktning;
Komponenter;RAB;Induktionsspole;elbegränsande objekt genom induktion i en krets;
Komponenter;RAC;Motstånd;elbegränsande objekt genom motstånd i en krets;
Komponenter;RB;Elstabiliserande objekt;begränsande objekt genom stabilisering av elektriskt energiflöde;
Komponenter;RBA;UPS;elstabiliserande objekt som garanterar kontinuerlig elkraftförsörjning;
Komponenter;RBB;Elkraftfilter;elstabiliserande objekt som undertrycker ett bestämt frekvensområde;
Komponenter;RBC;Elkraftequalizer;elstabiliserande objekt som undertrycker eller förstärker multipla frekvensområden;
Komponenter;RBD;Faskompensator;elstabiliserande objekt som tillhandhåller reaktiv kraft;
Komponenter;RF;Signalstabiliserande objekt;begränsande objekt genom stabilisering av elektriskt energiflöde;
Komponenter;RFA;Equalizer;signalstabiliserande objekt som undertrycker eller förstärker multipla frekvensområden;
Komponenter;RFB;Signalfilter;signalstabiliserande objekt som undertrycker ett bestämt frekvensområde;
Komponenter;RL;Rörelsebegränsande objekt;begränsande objekt genom begränsning av rörelse;
Komponenter;RLA;Låskedja;rörelsebegränsande objekt genom begränsning av rörelser hos ett objekt;dörrkedja, säkerhetskedja
Komponenter;RLB;Stötdämpare;rörelsebegränsande objekt genom avjämning och minskning av rörelser hos ett objekt;vibrationsdämpare
Komponenter;RLC;Broms;rörelsebegränsande objekt genom hastighetsreducering och stoppande av ett annat objekt;rangerbroms
Komponenter;RLD;Farthinder;rörelsebegränsande objekt genom att förhindra hög hastighet hos ett annat objekt;cykelfålla, gångfålla, refugelement, spårviddshinder, vägbula
Komponenter;RM;Returflödesbegränsande objekt;begränsande objekt genom begränsning av returflöde av materia;
Komponenter;RMA;Backventil;returflödesbegränsande objekt för vätska;återströmningsskydd
Komponenter;RMB;Backspjäll;returflödesbegränsande objekt för gas;
Komponenter;RMC;Backspärr;returflödesbegränsande objekt för solid materia;
Komponenter;RME;Vattenlås;returflödesbegränsande objekt för lukt;luktfälla, odörfälla
Komponenter;RN;Flödesbegränsande objekt;begränsande objekt genom begränsning av styrt flöde av materia;
Komponenter;RNA;Flödesbegränsare;justerbart flödesbegränsande objekt för vätska;venturidysa
Komponenter;RNB;Luftdon;justerbart flödesbegränsande objekt för gas;frånluftsdon, frånluftsventil, luftventil, tilluftsdon, tilluftsventil
Komponenter;RNC;Flödesbegränsare för solid materia;justerbart flödesbegränsande objekt för solid materia;
Komponenter;RND;Strypfläns;fast flödesbegränsande objekt för vätska;duschmunstycke, dysa, munstycke, perlator, sprinklerhuvud, sprinklermunstycke, vattenspridare
Komponenter;RQ;Lokalklimatstabiliserande objekt;begränsande objekt för den lokala omgivningen;
Komponenter;RQA;Isolering;lokalklimatstabiliserande objekt som begränsar termisk eller ljudtransmission;frostisoleringslager, frostskyddsisolering, ljuddämpning, ljudisolering, termisk isolering, tjälskydd, ljudisolering, luftljudisolering, stegljudsisolering
Komponenter;RQB;Stabiliserande lager;lokalklimatstabiliserande objekt som stabiliserar flöde av vätska, fukt, vind eller material;geoduk, geotextil, materialskiljande duk, materialskiljande lager, vindskyddspapp
Komponenter;RQC;Bullerskydd;lokalklimatstabiliserande objekt som stabiliserar ljudutbredning;bullerplank, bullerskärm, ex-ljuddämpare, explosionsljuddämpare, ljudabsorbent, ljuddämpare
Komponenter;RQD;Klimatskärm;lokalklimatstabiliserande objekt som begränsar vind, nederbörd eller strålning;markis, solskyddsfilm, solskärm, vindskydd
Komponenter;RQE;Gardin;lokalklimatstabiliserande objekt som begränsar ljusflöde genom textil;draperi, förhänge, rullgardin
Komponenter;RQF;Persienn;lokalklimatstabiliserande objekt som begränsar ljusflöde genom smala justerbara jalusier;fasadpersienn, invändig persienn
Komponenter;RQG;Fönsterlucka;lokalklimatstabiliserande objekt som begränsar ljusflöde genom utvändig avskärmning;
Komponenter;RQH;Ogrässkydd;lokalklimatstabiliserande objekt som förhindrar genomväxt av ogräs;
Komponenter;RQJ;Skärmvägg;lokalklimatstabiliserande objekt som förhindrar genomsikt och som dämpar ljudöverföring;balkongskärm, duschvägg, insynsskydd, monter, sidoskärm
Komponenter;RU;Tillträdesbegränsande objekt;begränsande objekt för tillträde;
Komponenter;RUA;Barriär;tillträdesbegränsande objekt genom en horisontell långsträckt barriär med vertikal utsträckning;mur, parkeringsplanka, plank, p-planka, staket, stopplanka, stängsel, viltstängsel
